country,income
Afghanistan,lic
Burkina Faso,lic
Burundi,lic
Central African Republic,lic
Chad,lic
"Congo, Dem. Rep",lic
Eritrea,lic
Ethiopia,lic
"Gambia, The",lic
Guinea-Bissau,lic
"Korea, Dem. People's Rep ",lic
Liberia,lic
Madagascar,lic
Malawi,lic
Mali,lic
Mozambique,lic
Niger,lic
Rwanda,lic
Sierra Leone,lic
Somalia,lic
South Sudan,lic
Sudan,lic
Syrian Arab Republic  ,lic
﻿﻿Togo,lic
Uganda,lic
"Yemen, Rep.",lic
gola,lmic
Algeria,lmic
Bangladesh,lmic
Benin,lmic
Bhutan,lmic
Bolivia,lmic
Cabo Verde,lmic
Cambodia,lmic
Cameroon,lmic
Comoros,lmic
"Congo, Rep.  ",lmic
Ivory Coast,lmic
Djibouti,lmic
Egypt,lmic
Eswatini,lmic
Ghana,lmic
Guinea,lmic
Haiti,lmic
Honduras,lmic
Jordan,lmic
India,lmic
"Iran, Islamic Rep    ",lmic
Kenya,lmic
Kiribati,lmic
Kyrgyz Republic  ,lmic
Lao PDR  ,lmic
Lebanon,lmic
Lesotho,lmic
Mauritania,lmic
"Micronesia, Fed. Sts.  ",lmic
Mongolia,lmic
Morocco,lmic
Myanmar,lmic
Nepal,lmic
Nicaragua,lmic
Nigeria,lmic
Pakistan,lmic
Papua New Guinea  ,lmic
Philippines,lmic
Samoa,lmic
São Tomé and Principe,lmic
Senegal,lmic
Solomon Islands  ,lmic
Sri Lanka,lmic
Tanzania,lmic
Tajikistan,lmic
Timor-Leste,lmic
Tunisia,lmic
Ukraine,lmic
Uzbekistan,lmic
Vanuatu,lmic
Vietnam,lmic
Zambia,lmic
Zimbabwe,lmic
bania,umic
Argentina,umic
Armenia,umic
Azerbaijan,umic
Belarus,umic
Belize,umic
Bosnia and Herzegovina    ,umic
Botswana,umic
Brazil,umic
Bulgaria,umic
China,umic
Colombia,umic
Costa Rica,umic
Cuba,umic
Dominica,umic
Dominican Republic,umic
El Salvador,umic
Equatorial Guinea    ,umic
Ecuador,umic
Fiji,umic
Gabon,umic
Georgia,umic
Grenada,umic
Guatemala,umic
Indonesia,umic
Iraq,umic
Jamaica,umic
Kazakhstan,umic
Kosovo,umic
Libya,umic
Malaysia,umic
Maldives,umic
Marshall Islands  ,umic
Mauritius,umic
Mexico,umic
Moldova,umic
Montenegro,umic
Namibia,umic
North Macedonia,umic
Palau,umic
Paraguay,umic
Peru  ,umic
Russia,umic
Serbia,umic
South Africa,umic
St. Lucia,umic
St. Vincent and the Grenadines,umic
Suriname,umic
Thailand,umic
Tonga,umic
Turkey,umic
Turkmenistan,umic
Tuvalu,umic
West Bank and Gaza,umic
American Samoa,hic
Andorra,hic
Antigua and Barbuda  ,hic
Aruba,hic
Australia,hic
Austria,hic
"Bahamas, The  ",hic
Bahrain,hic
Barbados,hic
Belgium,hic
Bermuda,hic
British Virgin Islands  ,hic
Brunei Darussalam  ,hic
Canada,hic
Cayman Islands    ,hic
Channel Islands  ,hic
Chile,hic
Croatia,hic
Curaçao,hic
Cyprus,hic
Czech Republic,hic
Denmark,hic
Estonia,hic
Faroe Islands  ,hic
Finland,hic
France,hic
French Polynesia  ,hic
Guyana,hic
Germany,hic
Gibraltar,hic
Greece,hic
Greenland,hic
Guam,hic
Hong Kong,hic
Hungary,hic
Iceland,hic
Ireland,hic
Isle of Man  ,hic
Israel,hic
Italy,hic
Japan,hic
"Korea, South",hic
Kuwait,hic
Latvia,hic
Liechtenstein,hic
Lithuania,hic
Luxembourg,hic
"Macao SAR, China  ",hic
Malta,hic
Monaco,hic
Nauru,hic
Netherlands,hic
New Caledonia    ,hic
New Zealand,hic
Northern Mariana Islands  ,hic
Norway,hic
Oman,hic
Panama,hic
Poland,hic
Portugal,hic
Puerto Rico,hic
Qatar,hic
Romania,hic
San Marino,hic
Saudi Arabia,hic
Seychelles,hic
Singapore,hic
Sint Maarten (Dutch part),hic
Slovak Republic,hic
Slovenia,hic
Spain,hic
St. Kitts and Nevis,hic
St. Martin (French part),hic
Sweden,hic
Switzerland,hic
Taiwan,hic
Trinidad and Tobago,hic
Turks and Caicos Islands,hic
United Arab Emirates,hic
United Kingdom,hic
United States,hic
Uruguay,hic
Virgin Islands (U.S.),hic
Venezuela,umic